Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date,Condition
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-CABG-HRRP,137.0,,0.9531,10.396,10.9078,13.0,07/01/2021,06/30/2024,Heart Bypass Surgery
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-AMI-HRRP,273.0,,0.937,13.2998,14.1948,33.0,07/01/2021,06/30/2024,Heart Attack
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-COPD-HRRP,122.0,,0.9823,16.6384,16.9389,19.0,07/01/2021,06/30/2024,COPD
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-PN-HRRP,507.0,,0.9871,15.7529,15.9591,79.0,07/01/2021,06/30/2024,Pneumonia
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HF-HRRP,653.0,,1.0233,20.5695,20.101,136.0,07/01/2021,06/30/2024,Heart Failure
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-COPD-HRRP,132.0,,0.9308,16.8541,18.108,17.0,07/01/2021,06/30/2024,COPD
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HF-HRRP,164.0,,1.0087,20.9512,20.77,35.0,07/01/2021,06/30/2024,Heart Failure
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-PN-HRRP,292.0,,0.8727,13.3116,15.2532,30.0,07/01/2021,06/30/2024,Pneumonia
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-AMI-HRRP,285.0,,0.9195,11.6567,12.6772,29.0,07/01/2021,06/30/2024,Heart Attack
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-PN-HRRP,679.0,,0.9819,15.6444,15.9334,105.0,07/01/2021,06/30/2024,Pneumonia
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HF-HRRP,461.0,,0.9925,19.2066,19.3517,88.0,07/01/2021,06/30/2024,Heart Failure
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-COPD-HRRP,174.0,,1.052,19.1045,18.1604,37.0,07/01/2021,06/30/2024,COPD
