Facility Name,Facility ID,State,Condition,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Number of Discharges,Hospital Size,Performance
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,Heart Bypass Surgery,0.9531,10.396,10.9078,13.0,137.0,Medium,Better Than Average
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,Heart Attack,0.937,13.2998,14.1948,33.0,273.0,Medium,Better Than Average
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,COPD,0.9823,16.6384,16.9389,19.0,122.0,Medium,Average
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,Pneumonia,0.9871,15.7529,15.9591,79.0,507.0,Large,Average
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,Heart Failure,1.0233,20.5695,20.101,136.0,653.0,Very Large,Worse Than Average
MARSHALL MEDICAL CENTERS,10005,AL,COPD,0.9308,16.8541,18.108,17.0,132.0,Medium,Better Than Average
MARSHALL MEDICAL CENTERS,10005,AL,Heart Failure,1.0087,20.9512,20.77,35.0,164.0,Medium,Average
MARSHALL MEDICAL CENTERS,10005,AL,Pneumonia,0.8727,13.3116,15.2532,30.0,292.0,Medium,Better Than Average
NORTH ALABAMA MEDICAL CENTER,10006,AL,Heart Attack,0.9195,11.6567,12.6772,29.0,285.0,Medium,Better Than Average
NORTH ALABAMA MEDICAL CENTER,10006,AL,Pneumonia,0.9819,15.6444,15.9334,105.0,679.0,Very Large,Average
NORTH ALABAMA MEDICAL CENTER,10006,AL,Heart Failure,0.9925,19.2066,19.3517,88.0,461.0,Large,Average
NORTH ALABAMA MEDICAL CENTER,10006,AL,COPD,1.052,19.1045,18.1604,37.0,174.0,Medium,Worse Than Average
MIZELL MEMORIAL HOSPITAL,10007,AL,Pneumonia,1.0345,16.336,15.7913,16.0,84.0,Small,Worse Than Average
MIZELL MEMORIAL HOSPITAL,10007,AL,Heart Failure,1.062,19.6947,18.5446,12.0,39.0,Small,Worse Than Average
ST. VINCENT'S EAST,10011,AL,Heart Attack,0.9697,11.4644,11.8232,12.0,118.0,Medium,Better Than Average
ST. VINCENT'S EAST,10011,AL,Heart Bypass Surgery,1.1213,12.5649,11.2054,11.0,63.0,Small,Worse Than Average
ST. VINCENT'S EAST,10011,AL,Heart Failure,1.0373,19.906,19.1894,56.0,268.0,Medium,Worse Than Average
ST. VINCENT'S EAST,10011,AL,COPD,0.9988,19.4501,19.4725,11.0,57.0,Small,Average
ST. VINCENT'S EAST,10011,AL,Pneumonia,1.0102,16.1282,15.9654,46.0,281.0,Medium,Average
DEKALB REGIONAL MEDICAL CENTER,10012,AL,Heart Failure,1.084,19.6001,18.0817,25.0,98.0,Small,Worse Than Average
DEKALB REGIONAL MEDICAL CENTER,10012,AL,Pneumonia,1.0206,15.253,14.9444,23.0,142.0,Medium,Worse Than Average
SHELBY BAPTIST MEDICAL CENTER,10016,AL,Pneumonia,1.0292,16.7023,16.2284,38.0,216.0,Medium,Worse Than Average
SHELBY BAPTIST MEDICAL CENTER,10016,AL,Heart Failure,1.0053,20.1019,19.9957,43.0,212.0,Medium,Average
HELEN KELLER HOSPITAL,10019,AL,Heart Failure,0.9057,17.2859,19.0851,37.0,255.0,Medium,Better Than Average
HELEN KELLER HOSPITAL,10019,AL,COPD,1.0327,17.547,16.991,32.0,169.0,Medium,Worse Than Average
HELEN KELLER HOSPITAL,10019,AL,Pneumonia,1.0061,13.8755,13.7919,33.0,235.0,Medium,Average
BAPTIST MEDICAL CENTER SOUTH,10023,AL,Heart Failure,1.0589,22.0595,20.8335,68.0,289.0,Medium,Worse Than Average
BAPTIST MEDICAL CENTER SOUTH,10023,AL,Pneumonia,1.049,18.3401,17.4837,33.0,162.0,Medium,Worse Than Average
